Last Name,Title,First Name,FALSE,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived,Role,Ticket,LifeBoat,Relationships,Child,BodyRecoverBoad
Abbing,Mr.,Anthony,FALSE,male,42,3rd,S,United States,5547,7.11,0,0,no,3rd Class Passenger,"5547
£7 11s",,Unmarried,,
Abbott,Mr.,Rossmore Edward,FALSE,male,16,3rd,S,United States,2673,20.05,1,1,no,3rd Class Passenger,"CA2673
£20 5s",[190],Unmarried,,Cable Ship MacKay Bennett
Abbott,Mr.,Ernest Owen,FALSE,male,21,victualling crew,S,England,NA,NA,NA,NA,no,Victualling Crew,,,Unmarried,,
Abelseth,Miss.,Kalle Karen Marie,FALSE,female,16,3rd,S,Norway,348125,7.13,0,0,yes,3rd Class Passenger,"348125
£7 13s",16*,Unmarried,,
Abelseth,Mr.,Olaus Jørgensen,FALSE,male,25,3rd,S,United States,348122,7.13,0,0,yes,3rd Class Passenger,"348122
£7 13s",A,Unmarried,,
Abelson,Mr.,Samuel,FALSE,male,30,2nd,C,France,3381,24,1,0,no,2nd Class Passenger,"3381
£24",,Married,,
Abelson,Mrs.,Hannah (Anna),FALSE,female,28,2nd,C,France,3381,24,1,0,yes,2nd Class Passenger,"3381
£24",,Married,,
Abī sa'b,Mr.,Jirjis Yūsuf,TRUE,male,45,,,,,,,,,3rd Class Passenger,"2685
£7 4s 6d",[312],Married,,SS Minia.
Abī sa'b,Mrs.,Sha'nīnah,TRUE,female,38,,,,,,,,,3rd Class Passenger,"2688
£7 4s 7d",,Widowed,,
Abī shadīd,Mr.,Dāhir,TRUE,male,19,,,,,,,,,3rd Class Passenger,"2698
£7 4s 6d",,,,Cable Ship MacKay Bennett
Abī-al-munà,Mr.,Nāsīf Qāsim,FALSE,male,27,3rd,C,Lebanon,2699,18.1509,0,0,yes,3rd Class Passenger,"2699
£18 15s 9d",,Married,,
Abrahamsson,Mr.,August Abraham Johannes,TRUE,male,19,,,,,,,,,3rd Class Passenger,"3101284
£7 18s 6d",15,Unmarried,,
Abrams,Mr.,William Thomas,FALSE,male,34,engineering crew,S,England,NA,NA,NA,NA,no,Engineering Crew,,,Married,,
Ådahl,Mr.,Mauritz,FALSE,male,30,3rd,S,Sweden,7076,7.05,0,0,no,3rd Class Passenger,"7076
£7 5s",[72],Married,,Cable Ship MacKay Bennett
Adams,Mr.,John,FALSE,male,26,3rd,S,England,341826,8.01,0,0,no,3rd Class Passenger,"341826
£8 1s",[103],Unmarried,,Cable Ship MacKay Bennett
Adams,Mr.,Robert John,FALSE,male,26,engineering crew,S,England,NA,NA,NA,NA,no,Engineering Crew,,,Unmarried,,
Ahier,Mr.,Percy Snowden,FALSE,male,20,victualling crew,S,Channel Islands,NA,NA,NA,NA,no,Victualling Crew,,,Unmarried,,
Ahlin,Mrs.,Johanna Persdotter,FALSE,female,40,3rd,S,Sweden,7546,9.0906,1,0,no,3rd Class Passenger,"7546
£9 9s 6d",,Married,,
Akerman,Mr.,Joseph Francis,FALSE,male,37,victualling crew,S,England,NA,NA,NA,NA,no,Victualling Crew,,[205],Married,,Cable Ship MacKay Bennett
Akerman,Mr.,Albert Edward,FALSE,male,31,victualling crew,S,England,NA,NA,NA,NA,no,Victualling Crew,,,Unmarried,,
Aks,Master.,Frank Philip,FALSE,male,0.8333333333,3rd,S,England,392091,9.07,0,1,yes,3rd Class Passenger,"392091
£9 7s",11,,,
Aks,Mrs.,Leah,FALSE,female,21,3rd,S,England,392091,9.07,0,1,yes,3rd Class Passenger,"392091
£9 7s",,Married,,
Al-ba'qlīnī,Mrs.,Laṭīfah,TRUE,female,23,,,,,,,,,3rd Class Passenger,"2666
£19 5s 2d",,Married,,
Al-munà,Mr.,Farīd Husayn Qāsim,FALSE,male,19,3rd,C,Lebanon,2700,7.0407,0,0,no,3rd Class Passenger,"2700
£7 4s 7d",,Married,,
Al-za'innī,Mr.,Fahīm Rūḥānā,TRUE,male,25,,,,,,,,,3rd Class Passenger,"2620
£7 4s 6d",6*,Married,,
Aldworth,Mr.,Augustus Henry,FALSE,male,35,2nd,S,England,248744,13,0,0,no,"2nd Class Passenger
Servant","248744
£13",,Married,,
Alexander,Mr.,William Albert,FALSE,male,24,3rd,S,England,3474,7.1709,0,0,no,3rd Class Passenger,"3474
£7 17s 9d",,Unmarried,,
Alhomäki,Mr.,Ilmari Rudolf,FALSE,male,19,3rd,S,Finland,3101287,7.1806,0,0,no,3rd Class Passenger,"3101287
£7 18s 6d",,Unmarried,,
Ali,Mr.,William,FALSE,male,25,3rd,S,Argentina,3101312,7.01,0,0,no,3rd Class Passenger,"3101312
£7 1s",,,,Cable Ship MacKay Bennett
Ali,Mr.,Ahmed,FALSE,male,24,3rd,S,Argentina,3101311,7.01,0,0,no,,,,,,
Allaria,Mr.,Battista Antonio,TRUE,male,22,,,,,,,,,Restaurant Staff,,[221],Unmarried,,Cable Ship MacKay Bennett
Allen,Miss.,Elisabeth Walton,FALSE,female,29,1st,S,United States,24160,211.6009,0,0,yes,1st Class Passenger,"24160
£211 6s 9d",2,Engaged,,
Allen,Mr.,Henry,FALSE,male,30,engineering crew,S,England,NA,NA,NA,NA,no,Engineering Crew,,[145],Married,,Cable Ship MacKay Bennett
Allen,Mr.,George,FALSE,male,26,victualling crew,S,England,NA,NA,NA,NA,no,Victualling Crew,,,Married,,
Allen,Mr.,Robert Spencer,FALSE,male,36,victualling crew,S,England,NA,NA,NA,NA,no,,,,Married,,
Allen,Mr.,William Henry,FALSE,male,39,3rd,S,England,373450,8.01,0,0,no,3rd Class Passenger,"373450
£8 1s",,Married,,
Allen,Mr.,Frederick,FALSE,male,17,victualling crew,S,England,NA,NA,NA,NA,no,,,,,,
Allison,Master.,Hudson Trevor,FALSE,male,11m,1st,S,Canada,113781,151.16,1,2,yes,1st Class Passenger,"113781
£151 16s",11,,,
Allison,Mrs.,Bess Waldo,TRUE,female,,,,,,,,,,,,,Married,,
Allsop,Mr.,Alfred Samuel,FALSE,male,36,engineering crew,B,England,NA,NA,NA,NA,no,,,,Married,,
Allsop,Mr.,Frank Richard,FALSE,male,41,victualling crew,B,England,NA,NA,NA,NA,no,,,,Married,,
Allum,Mr.,Owen George,FALSE,male,17,3rd,S,England,2223,8.06,0,0,no,3rd Class Passenger,"2223
£8 6s",[259],Unmarried,,Cable Ship MacKay Bennett
Andersen,Mr.,Albert Kaurin,TRUE,male,33,,,,,,,,,3rd Class Passenger,"4001
£22 10s 6d",,Married,,Cable Ship MacKay Bennett
Andersen (jensen),Miss.,Carla Christine Nielsine,FALSE,female,19,,,,,,,,,,,,,,
Andersen-jensen,Miss.,Carla Christine Nielsine,FALSE,female,19,3rd,S,Denmark,350046,7.1701,1,0,yes,3rd Class Passenger,"350046
£7 17s 1d",16,Engaged,,
Anderson,Mr.,Walter Yuill,FALSE,male,50,victualling crew,S,England,NA,NA,NA,NA,no,Victualling Crew,,[146],Unmarried,,Cable Ship MacKay Bennett
Anderson,Mr.,Harry,FALSE,male,42,1st,S,United States,19952,26.11,0,0,yes,1st Class Passenger,"19952
£26 11s",3*,Married,,
Anderson,Mr.,John,FALSE,male,42,,,,,,,,,Deck Crew,,,Unmarried,,
Andersson,Master.,Sigvard Harald Elias,FALSE,male,4,3rd,S,Sweden,347082,31.0506,4,2,no,3rd Class Passenger,"347082
£31 5s 6d",,,Child,
Andersson,Miss.,Ebba Iris Alfrida,FALSE,female,6,3rd,S,Sweden,347082,31.0506,4,2,no,3rd Class Passenger,"347082
£31 5s 6d",,,Child,
Andersson,Miss.,Ida Augusta Margareta,FALSE,female,38,3rd,S,Sweden,347091,7.1506,4,2,no,,,,Unmarried,,
Andersson,Mr.,Anders Johan,FALSE,male,39,3rd,S,Sweden,347082,31.0506,1,5,no,,,,Married,,
Andersson,Mr.,Johan Samuel,FALSE,male,26,3rd,S,Sweden,347075,7.1506,0,0,no,,,,Unmarried,,
Andreasson,Mr.,Pål Edvin,FALSE,male,20,3rd,S,Sweden,347466,7.1701,0,0,no,,,,Unmarried,,
Andrew,Mr.,Edgar Samuel,FALSE,male,17,2nd,S,Argentina,231945,11.1,0,0,no,2nd Class Passenger,"231945
£11 10s",,Engaged,,
Andrew,Mr.,Frank Thomas,FALSE,male,27,2nd,S,England,34050,10.1,0,0,no,,,,Married,,
Andrews,Miss.,K(C)ornelia Theodosia,FALSE,female,62,1st,C,United States,13502,77.1902,1,0,yes,1st Class Passenger,"13502
£77 19s 2d",10,Unmarried,,
Andrews,Mr.,Thomas,FALSE,male,39,1st,B,Northern Ireland,112050,NA,0,0,no,,,,Married,,
Angheloff,Mr.,Minko,FALSE,male,26,3rd,S,Bulgaria,349202,7.1711,0,0,no,,,,,,
Angle,Mrs.,Florence Agnes,FALSE,female,36,2nd,S,England,226875,26,1,0,yes,2nd Class Passenger,"226875
£26",11*,Married,,
Angle,Mr.,William,FALSE,male,31,2nd,S,England,226875,26,1,0,no,,,,Married,,
Appleton,Mrs.,Charlotte,FALSE,female,53,1st,S,United States,11769,51.0907,2,0,yes,1st Class Passenger,"11769
£51 9s 7d",2,Married,,
Archer,Mr.,Ernest Edward,FALSE,male,35,deck crew,S,England,NA,NA,NA,NA,yes,Deck Crew,,16,Married,,
Arnold-franchi,Mr.,Josef,FALSE,male,25,3rd,S,Switzerland,349237,17.16,1,0,no,,,,Married,,
Aronsson,Mr.,Ernst Axel Algot,FALSE,male,25,3rd,S,Sweden,349911,7.1506,0,0,no,,,,Unmarried,,
Artagaveytia,Mr.,Ramon,FALSE,male,71,1st,C,Argentina,17609,49.1001,0,0,no,,,,Unmarried,,Cable Ship MacKay Bennett
Ashby,Mr.,John,FALSE,male,57,2nd,S,England,244346,13,0,0,no,,,,Married,,
Ashcroft,Mr.,Austin Aloysius,FALSE,male,26,victualling crew,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Ashe,Mr.,Henry Wellesley,FALSE,male,41,victualling crew,S,Ireland,NA,NA,NA,NA,no,,,,Married,,Cable Ship MacKay Bennett
Asim,Mr.,Adola,FALSE,male,35,3rd,S,Argentina,3101310,7.01,0,0,no,,,,,,
Aspeslagh,Mr.,Georges,FALSE,male,26,restaurant staff,S,England,NA,NA,NA,NA,no,,,,Unmarried,,
Asplund,Master.,Edvin Rojj Felix,FALSE,male,3,3rd,S,Sweden,347077,31.0709,4,2,yes,3rd Class Passenger,"347077
£31 7s 9d",10*,,,
Asplund,Miss.,Lillian Gertrud,FALSE,female,5,3rd,S,Sweden,347077,31.0709,4,2,yes,3rd Class Passenger,"347077
£31 7s 9d",10*,,,
Asplund,Mrs.,Selma Augusta Emilia,FALSE,female,38,3rd,S,Sweden,347077,31.0709,1,5,yes,3rd Class Passenger,"347077
£31 7s 9d",10*,Married,,
Asplund,Mr.,Johan Charles,FALSE,male,23,3rd,S,Sweden,350054,7.1511,0,0,yes,3rd Class Passenger,"350054
£7 15s 11d",13*,Unmarried,,
Asplund,Master.,Carl Edgar,FALSE,male,5,3rd,S,Sweden,347077,31.0709,4,2,no,3rd Class Passenger,"347077
£31 7s 9d",,,Child,
Asplund,Master.,Filip Oscar,FALSE,male,13,3rd,S,Sweden,347077,31.0709,4,2,no,3rd Class Passenger,"347077
£31 7s 9d",,,Child,
Assaf,Mrs.,Mariana,FALSE,female,45,3rd,C,Lebanon,2696,7.0406,0,0,yes,,,,,,
Assam,Mr.,Ali,FALSE,male,23,3rd,S,Argentina,3101309,7.01,0,0,no,,,,,,
Astor,Mrs.,Madeleine Talmage,FALSE,female,18,1st,C,United States,17757,247.1006,1,0,yes,1st Class Passenger,"17757
£247 10s 6d",4,Married,,
